Nr,Kfz-Kennz,Stadt,Kanton;
1,ZH,Zürich,Zürich;
2,TI,Lugano,Tessin;
3,LU,Luzern,Luzern;
4,BS,Basel,Basel;
5,GE,Genf,Genève;
6,VS,Sion(Sitten),Wallis;
7,GL,Glarus,Glarus;
8,SH,Schaffhausen,Schaffhausen;
9,FR,Fribourg,Fribourg;
10,BE,Bern,Bern;
11,TG,Winterthur,Thurgau;
12,AG,Aarau,Aargau;
13,SZ,Einsiedeln,Schwyz;
14,UW,Engelberg,Unterwalden;
15,UR,Altdorf,Uri;
16,GR,Chur,Graubünden;
17,VD,Lausanne,Vaud;
18,JU,Délémont,Jura;
19,NE,Neuchâtel,Neuenburg;
20,ZG,Zug,Zug;
21,SG,Rorschach,St.Gallen;
22,AI,Appenzell,Appenzell;
23,SO,Solothurn,Solothurn;
